iter;num;solve;time
5;9;True;0.17010039999999993;
6;9;True;0.13351079999999982;
7;9;True;0.04965020000000031;
8;9;True;0.0670086000000003;
9;9;True;0.031926899999999314;
0;10;True;0.020408099999999152;
1;10;True;0.02038730000000033;
2;10;True;0.02038340000000005;
3;10;True;0.02046290000000006;
4;10;True;0.020364700000000013;
5;10;True;0.020400000000000418;
6;10;True;0.02069540000000014;
7;10;True;0.020508900000000274;
8;10;True;0.020382000000000566;
9;10;True;0.02097950000000015;
0;11;True;0.009940900000000141;
1;11;True;0.009934299999999396;
2;11;True;0.009956799999999433;
3;11;True;0.010006500000000251;
4;11;True;0.009966300000000317;
5;11;True;0.010030500000000053;
6;11;True;0.009978500000000778;
7;11;True;0.009932400000000285;
8;11;True;0.009905500000000345;
9;11;True;0.009989499999999651;
0;12;True;0.034586699999999304;
1;12;True;0.034861999999999504;
2;12;True;0.03480219999999967;
3;12;True;0.03481679999999976;
4;12;True;0.03471500000000027;
5;12;True;0.03459820000000047;
6;12;True;0.03494580000000003;
7;12;True;0.03507339999999992;
8;12;True;0.03477189999999997;
9;12;True;0.03473940000000031;
0;13;True;0.02409309999999998;
1;13;True;0.02411399999999997;
2;13;True;0.024172499999999708;
3;13;True;0.02413899999999991;
4;13;True;0.0241794999999998;
5;13;True;0.024012499999999548;
6;13;True;0.02413600000000038;
7;13;True;0.024141499999999816;
8;13;True;0.02405229999999925;
9;13;True;0.024121400000000293;
0;14;True;0.02157249999999955;
1;14;True;0.021538200000000174;
2;14;True;0.02144329999999961;
3;14;True;0.02151779999999981;
4;14;True;0.021931799999999946;
5;14;True;0.021550400000000636;
6;14;True;0.021420799999999574;
7;14;True;0.021228200000000363;
8;14;True;0.021576099999999876;
9;14;True;0.021506599999999487;
0;15;True;0.0025231999999997257;
1;15;True;0.00255739999999971;
2;15;True;0.002529400000000237;
3;15;True;0.002511300000000105;
4;15;True;0.0025338999999995337;
5;15;True;0.00250780000000006;
6;15;True;0.002509100000000153;
7;15;True;0.002550400000000508;
8;15;True;0.0025199000000002414;
9;15;True;0.002507500000000107;
0;16;True;0.0027191999999995886;
1;16;True;0.002691000000000443;
2;16;True;0.0028209999999999624;
3;16;True;0.002746799999999716;
4;16;True;0.0026792000000002147;
5;16;True;0.0027026000000001105;
6;16;True;0.0027249999999998664;
7;16;True;0.002748600000000323;
8;16;True;0.0026862999999996973;
9;16;True;0.002737699999999954;
0;17;True;0.012716600000000078;
1;17;True;0.0127278000000004;
2;17;True;0.012569399999999398;
3;17;True;0.01268310000000028;
4;17;True;0.012730600000000258;
5;17;True;0.012636099999999928;
6;17;True;0.012802100000000038;
7;17;True;0.012762899999999355;
8;17;True;0.012579399999999907;
9;17;True;0.012715800000000499;
0;18;True;0.009220299999999959;
1;18;True;0.00948280000000068;
2;18;True;0.00917570000000012;
3;18;True;0.009782399999999747;
4;18;True;0.009335999999999345;
5;18;True;0.009159199999999146;
6;18;True;0.009141699999999808;
7;18;True;0.0092888999999996;
8;18;True;0.009216099999999727;
9;18;True;0.009176000000000073;
0;19;True;0.012662600000000523;
1;19;True;0.012562500000000476;
2;19;True;0.012644400000000111;
3;19;True;0.012687900000000418;
4;19;True;0.012670599999999865;
5;19;True;0.01258270000000028;
6;19;True;0.012645100000000298;
7;19;True;0.012680400000000702;
8;19;True;0.01257859999999944;
9;19;True;0.012646900000000016;
0;20;True;0.02179909999999996;
1;20;True;0.021775699999999176;
2;20;True;0.022161200000000214;
3;20;True;0.021963500000000025;
4;20;True;0.021677099999999783;
5;20;True;0.021770800000000534;
6;20;True;0.021875199999999317;
7;20;True;0.021724899999999714;
8;20;True;0.021931800000000834;
9;20;True;0.021966299999999883;
0;21;True;0.03688429999999965;
1;21;True;0.03675649999999919;
2;21;True;0.0367601999999998;
3;21;True;0.03657649999999979;
4;21;True;0.03698110000000021;
