iter;num;solve;time
0;0;True;0.0078114999999999955
1;0;True;0.007661299999999996
2;0;True;0.007614500000000003
3;0;True;0.007677199999999995
4;0;True;0.007633799999999996
5;0;True;0.007760000000000003
6;0;True;0.007759299999999997
7;0;True;0.00778899999999999
8;0;True;0.0077272000000000035
9;0;True;0.007820900000000006
10;0;True;0.007816599999999993
11;0;True;0.007790100000000008
12;0;True;0.007767800000000005
13;0;True;0.007834800000000003
14;0;True;0.007749999999999979
15;0;True;0.007816899999999988
16;0;True;0.007750399999999991
17;0;True;0.00780249999999999
18;0;True;0.0081455
19;0;True;0.007736099999999996
20;0;True;0.007688699999999993
21;0;True;0.007813299999999995
22;0;True;0.007728399999999996
23;0;True;0.007813899999999985
24;0;True;0.007830900000000002
25;0;True;0.007792800000000016
26;0;True;0.007695199999999985
27;0;True;0.00827940000000002
28;0;True;0.007702799999999982
29;0;True;0.00796819999999998
30;0;True;0.0078045000000000475
31;0;True;0.008025700000000024
32;0;True;0.007639000000000007
33;0;True;0.007949099999999987
34;0;True;0.007640800000000003
35;0;True;0.007800999999999947
36;0;True;0.0076728999999999825
37;0;True;0.0077728999999999715
38;0;True;0.007653999999999994
39;0;True;0.007851300000000005
40;0;True;0.007827899999999999
41;0;True;0.007749299999999959
42;0;True;0.007821899999999993
43;0;True;0.007825900000000052
44;0;True;0.00778179999999995
45;0;True;0.007839600000000002
46;0;True;0.007775399999999988
47;0;True;0.007767599999999986
48;0;True;0.007870699999999953
49;0;True;0.007822399999999952
50;0;True;0.007801000000000002
51;0;True;0.007960699999999987
52;0;True;0.00766140000000004
53;0;True;0.008196099999999984
54;0;True;0.007877200000000029
55;0;True;0.007867999999999986
56;0;True;0.007776200000000011
57;0;True;0.008279400000000048
58;0;True;0.0077364999999999795
59;0;True;0.007700399999999996
60;0;True;0.007692199999999927
61;0;True;0.007709599999999983
62;0;True;0.007634799999999942
63;0;True;0.007775199999999982
64;0;True;0.00781670000000001
65;0;True;0.007784699999999978
66;0;True;0.007899700000000065
67;0;True;0.007808200000000043
68;0;True;0.00781759999999998
69;0;True;0.007779199999999986
70;0;True;0.007808999999999955
71;0;True;0.007756800000000008
72;0;True;0.007803400000000016
73;0;True;0.00785580000000008
74;0;True;0.007802099999999923
75;0;True;0.007807099999999956
76;0;True;0.007823000000000024
77;0;True;0.007730600000000032
78;0;True;0.00783429999999996
79;0;True;0.00777669999999997
80;0;True;0.007751699999999917
81;0;True;0.007832400000000073
82;0;True;0.007765099999999969
83;0;True;0.007747500000000018
84;0;True;0.007797500000000013
85;0;True;0.007790199999999969
86;0;True;0.007778900000000033
87;0;True;0.007838899999999982
88;0;True;0.007771400000000095
89;0;True;0.007759100000000019
90;0;True;0.007881400000000038
91;0;True;0.007792999999999939
92;0;True;0.007704000000000044
93;0;True;0.00781529999999997
94;0;True;0.007754799999999951
95;0;True;0.007745299999999955
96;0;True;0.007691800000000026
97;0;True;0.0077040999999999915
98;0;True;0.007666100000000009
99;0;True;0.007963900000000024
0;1;True;0.013813100000000023
1;1;True;0.014088799999999901
2;1;True;0.013976199999999994
3;1;True;0.014031000000000016
4;1;True;0.013949100000000048
5;1;True;0.013952400000000087
6;1;True;0.014072300000000038
7;1;True;0.013971600000000084
8;1;True;0.013814100000000051
9;1;True;0.013819400000000037
10;1;True;0.013969799999999921
11;1;True;0.013805599999999973
12;1;True;0.013803299999999963
13;1;True;0.01390760000000002
14;1;True;0.013791200000000003
15;1;True;0.013825100000000035
16;1;True;0.013781700000000008
17;1;True;0.01409539999999998
18;1;True;0.013884999999999925
19;1;True;0.013918199999999992
20;1;True;0.01392799999999994
21;1;True;0.013750099999999987
22;1;True;0.013900699999999988
23;1;True;0.013834300000000077
24;1;True;0.013855699999999915
25;1;True;0.013691700000000084
26;1;True;0.01407360000000013
27;1;True;0.013984199999999891
28;1;True;0.013881299999999985
29;1;True;0.013698100000000046
30;1;True;0.013695599999999919
31;1;True;0.01432829999999985
32;1;True;0.014018599999999992
33;1;True;0.013809399999999972
34;1;True;0.013786000000000076
35;1;True;0.013804300000000103
36;1;True;0.01379090000000005
37;1;True;0.01377409999999979
38;1;True;0.013759099999999913
39;1;True;0.013862800000000064
40;1;True;0.013760800000000017
41;1;True;0.013791600000000015
42;1;True;0.013848099999999919
43;1;True;0.013846800000000048
44;1;True;0.013921500000000142
45;1;True;0.014062699999999984
46;1;True;0.013916999999999957
47;1;True;0.013794399999999873
48;1;True;0.014724200000000076
49;1;True;0.013873199999999919
50;1;True;0.013895900000000072
51;1;True;0.014093799999999934
52;1;True;0.013998700000000142
53;1;True;0.013974399999999942
54;1;True;0.014023200000000013
55;1;True;0.013939600000000052
56;1;True;0.014002700000000035
57;1;True;0.01408100000000001
58;1;True;0.014504700000000037
59;1;True;0.014030699999999952
60;1;True;0.01390899999999995
61;1;True;0.014174300000000084
62;1;True;0.014285999999999799
63;1;True;0.014123799999999909
64;1;True;0.013987900000000053
65;1;True;0.013960599999999879
